koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
7.825.021.680,218.600,"5,21E+06",15.90,7.080,1.365.499.500,3950.00,4.754,4.930,-4.600,15.954,"0,000001164001035","2,282104292",CONFIRMED
3.895.936.525,231.110,"8,54E+07",370.80,5.240,1.705.275.520,5557.00,4.592,7.740,-3.000,15.725,"0,000002471699236","9,243808739",CONFIRMED
22.366.464.660,522.800,"9,87E+06",32.10,4.000,1.754.586.200,5395.00,4.615,7.340,-3.400,15.583,"0,0000009739283192","3,141337295",CONFIRMED
1.625.522.174,238.963,"7,97E+07",799.70,760,1.708.266.564,5539.00,4.322,1.1060,1.600,15.001,"0,000006125288123","8,926925563",CONFIRMED
19.620.346.923,200.380,"2,17E+08",340.50,4.580,1.818.818.190,5710.00,4.492,9.050,-1.000,15.562,"0,0000004255361386","14,73940297",CANDIDATE
7.544.039.000,622.200,"3,23E+06",14.20,1.1750,1.717.982.000,5657.00,4.567,8.240,-1.800,15.559,"0,000003436488067","1,796106901",FALSE POSITIVE
9.029.306.890,314.490,"1,02E+07",53.90,240,1.772.042.200,5349.00,4.526,8.200,-1.200,15.387,"0,000001451246498","3,193430757",CONFIRMED
10.328.035.714,779.150,"1,69E+08",636.80,2.810,1.745.810.540,5627.00,4.359,1.0240,-1.000,15.646,"0,000003143345379","13,00692123",FALSE POSITIVE
143.206.304.700,893.020,"1,06E+08",138.80,3.790,1.542.355.200,5485.00,4.556,8.670,2.100,15.403,"0,0000002598291098","10,27910502",CONFIRMED
6.164.876.000,326.200,"5,58E+05",14.40,6.460,1.356.391.600,5854.00,4.406,1.0120,-1.200,12.882,"0,00000220469425","0,7469939759",CONFIRMED
60.324.942.160,661.880,"2,03E+08",347.20,2.240,2.438.925.780,5485.00,4.556,8.670,2.100,15.403,"0,0000004571630298","14,2407865",CONFIRMED
29.159.861.500,480.300,"4,88E+06",11.60,3.619,1.506.992.200,5485.00,4.556,8.670,2.100,15.403,"0,0000006863029854","2,209072203",CONFIRMED
1.540.397.253,215.410,"8,16E+06",38.80,1.2250,1.705.047.900,5663.00,4.530,9.150,2.100,15.974,"0,000005826689608","2,856746401",FALSE POSITIVE
2.990.254.430,541.400,"5,89E+06",48.50,140,1.719.834.000,4667.00,4.578,7.310,1.000,15.842,"0,000007543951146","2,427344228",FALSE POSITIVE
1.594.745.374,196.040,"1,50E+08",1009.30,5.140,1.706.483.505,5934.00,4.491,8.930,-3.800,15.530,"0,000005122029803","12,26539849",CONFIRMED
4.783.002.698,233.500,"1,01E+07",70.60,30,1.705.084.340,5170.00,4.574,8.070,1.800,15.119,"0,000002034112728","3,176003778",CONFIRMED
20.505.889.210,405.950,"2,11E+07",78.50,2.600,1.814.342.800,4905.00,4.544,7.610,-400,15.398,"0,0000008248646601","4,588572763",CONFIRMED
