koi_period,koi_duration,koi_depth,koi_model_snr,koi_impact,koi_time0bk,koi_steff,koi_slogg,koi_srad,koi_smet,koi_kepmag,duty_cycle,rp_rs,koi_disposition
16085189370,398400,14424000,62.60,8670,1802831900,5239.00,4523,8260,0,15219,"0,000001032005258","3,797894153",CONFIRMED
235998639900,822840,207150000,271.80,7780,2083998220,4245.00,4627,6570,1200,15172,"0,000000145276261","14,39270649",CANDIDATE
7490183050,272970,11236000,53.00,200,1749503700,5103.00,4562,7870,400,15599,"0,000001518487589","3,35201432",CONFIRMED
36276123800,478650,15726000,45.50,350,2012869000,5103.00,4562,7870,400,15599,"0,000000549776214","3,965602098",CONFIRMED
17460879310,226410,8124000,22.60,5940,1372659400,5103.00,4562,7870,400,15599,"0,0000005402792054","2,850263146",CONFIRMED
56056075400,468500,16260000,27.40,180,2011657800,3593.00,4757,4910,2600,15849,"0,000000348237603","4,032369031",CONFIRMED
41408316686,502640,228390000,907.80,3770,1957874500,5522.00,4586,7470,-4600,15196,"0,0000005057760134","15,11257754",CONFIRMED
39748930770,730510,151790000,561.10,8810,1728546440,6122.00,4487,9640,-1800,15344,"0,0000007657543505","12,32030844",CANDIDATE
5715425977,252420,9081000,59.40,3480,1748793100,5237.00,4572,8260,2400,15086,"0,000001840195296","3,013469761",CONFIRMED
49183941850,1133640,16462000,355.70,350,1419119240,5626.00,3907,-485739,3600,12654,"0,0000009603744276","4,057339029",CONFIRMED
20026141200,161100,4212000,10.70,9570,1469110900,5237.00,4572,8260,2400,15086,"0,0000003351868906","2,052315765",CONFIRMED
13610148190,259400,57329000,184.10,-398112,1739873190,5697.00,4460,9030,-2600,15060,"0,0000007941378141","7,571591642",CANDIDATE
10443319910,274300,11598000,51.70,2300,1754046000,4947.00,4516,8020,800,15546,"0,000001094399747","3,40558365",FALSE POSITIVE
2237489571,181190,3158000,30.70,1280,1708191400,5265.00,4580,8100,1400,15001,"0,000003374131183","1,77707625",CONFIRMED
5851520671,311058,330040000,1630.40,2110,1738228336,5532.00,4530,8060,-3400,15330,"0,000002214937061","18,16700305",FALSE POSITIVE
3167893418,218140,7812000,64.80,260,1721479590,5895.00,4503,9400,-200,15533,"0,000002869151662","2,794995528",CONFIRMED
4311780262,272510,11540000,86.10,1960,1735764830,5527.00,4484,9270,1600,15604,"0,000002633386361","3,39705755",CONFIRMED
20050449400,455600,8409000,37.80,3830,1880882100,5527.00,4484,9270,1600,15604,"0,0000009467784464","2,899827581",CONFIRMED
9767345030,165850,5691000,45951,9000,1865771800,5527.00,4484,9270,1600,15604,"0,0000007075020536","2,38558169",CONFIRMED
119020704400,814050,74305000,223.50,760,2222364920,5453.00,4342,-467509,1600,15085,"0,0000002849819296","8,620034803",CANDIDATE
190320046800,1528400,11417000,139.30,8120,3126849800,5626.00,3907,-485739,3600,12654,"0,0000003346117995","3,378905148",CONFIRMED
2861159894,188320,10143000,58.30,9650,1716481060,6126.00,4458,-617258,-400,15618,"0,000002742477512","3,184807687",FALSE POSITIVE
26444393370,397830,18435000,88.00,300,1941207400,5427.00,4463,9290,1600,15158,"0,0000006268341939","4,293599888",CONFIRMED
51539979720,639940,36443000,155.50,1830,1740550110,5427.00,4463,9290,1600,15158,"0,0000005173491882","6,03680379",CONFIRMED
5902245782,290030,7023000,59.30,2090,1367839300,5427.00,4463,9290,1600,15158,"0,000002047455118","2,650094338",CONFIRMED
2382951591,188760,3916000,41.40,4790,1350808410,5427.00,4463,9290,1600,15158,"0,000003300528651","1,978888577",CONFIRMED
21022506080,410720,17725000,62.40,360,2076759300,5067.00,4585,7500,-800,15859,"0,0000008140482047","4,210106887",CONFIRMED
3219814777,206420,4882000,30.50,600,1330040600,5103.00,4562,7870,400,15599,"0,000002671219908","2,209524836",CONFIRMED
5912273234,232540,9614000,62.80,1700,1721840120,4072.00,4696,5700,-1800,15036,"0,000001638822545","3,100645094",CONFIRMED
8985819010,286060,8813000,51.80,80,1756841800,4072.00,4696,5700,-1800,15036,"0,000001326441881","2,968669736",CONFIRMED
12940668656,248450,424500000,307.50,8970,1794230140,5875.00,4572,8090,-4200,15215,"0,0000007999651029","20,60339778",CANDIDATE
